td0 starting with the finishing point from td1 and learning rate 0.0015 * 1e-12

V(θ[33],x₀) = 0.5918 and V(θ[33],xₜ) = 256476.728, Reward = 325350.3787, θ = [0.644411, 0.008902, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[34],x₀) = 0.5918 and V(θ[34],xₜ) = 63798.2845, Reward = 82291.652, θ = [0.644411, 0.008902, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[35],x₀) = 0.5918 and V(θ[35],xₜ) = -259699.536, Reward = -343880.0542, θ = [0.644417, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[36],x₀) = 0.5918 and V(θ[36],xₜ) = 256480.6299, Reward = 336011.624, θ = [0.644421, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[37],x₀) = 0.5918 and V(θ[37],xₜ) = 63799.2511, Reward = 81540.3647, θ = [0.644421, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[38],x₀) = 0.5918 and V(θ[38],xₜ) = -1288.1591, Reward = 2187.1932, θ = [0.644421, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[39],x₀) = 0.5918 and V(θ[39],xₜ) = 0.6659, Reward = -1606.7234, θ = [0.644421, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[40],x₀) = 0.5918 and V(θ[40],xₜ) = -64442.3947, Reward = -81882.9466, θ = [0.644421, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[41],x₀) = 0.5918 and V(θ[41],xₜ) = -324791.4124, Reward = -425219.4643, θ = [0.644427, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[42],x₀) = 0.5918 and V(θ[42],xₜ) = -260993.2723, Reward = -339321.3206, θ = [0.644429, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[43],x₀) = 0.5918 and V(θ[43],xₜ) = -64185.3742, Reward = -80912.0512, θ = [0.644429, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[44],x₀) = 0.5918 and V(θ[44],xₜ) = -64443.2225, Reward = -81895.6419, θ = [0.644429, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[45],x₀) = 0.5918 and V(θ[45],xₜ) = -192037.2367, Reward = -236690.4269, θ = [0.644425, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[46],x₀) = 0.5918 and V(θ[46],xₜ) = -64442.8269, Reward = -81880.5416, θ = [0.644425, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[47],x₀) = 0.5918 and V(θ[47],xₜ) = 0.5805, Reward = -18.6661, θ = [0.644425, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[48],x₀) = 0.5918 and V(θ[48],xₜ) = 255195.336, Reward = 336294.8739, θ = [0.64443, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[49],x₀) = 0.5918 and V(θ[49],xₜ) = 63155.7258, Reward = 82320.308, θ = [0.64443, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[50],x₀) = 0.5918 and V(θ[50],xₜ) = 64702.371, Reward = 83350.1339, θ = [0.64443, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[51],x₀) = 0.5918 and V(θ[51],xₜ) = -64443.3269, Reward = -81874.0214, θ = [0.64443, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[52],x₀) = 0.5918 and V(θ[52],xₜ) = -319380.8511, Reward = -412530.3278, θ = [0.644432, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[53],x₀) = 0.5918 and V(θ[53],xₜ) = 195909.0419, Reward = 263353.3449, θ = [0.644437, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[54],x₀) = 0.5918 and V(θ[54],xₜ) = 192043.9954, Reward = 259462.0032, θ = [0.644442, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[55],x₀) = 0.5918 and V(θ[55],xₜ) = -257.1063, Reward = -444.796, θ = [0.644442, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[56],x₀) = 0.5918 and V(θ[56],xₜ) = -190495.9016, Reward = -246253.3374, θ = [0.644443, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[57],x₀) = 0.5918 and V(θ[57],xₜ) = 64445.7973, Reward = 81899.1624, θ = [0.644443, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[58],x₀) = 0.5918 and V(θ[58],xₜ) = -1288.2139, Reward = 613.8243, θ = [0.644443, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[59],x₀) = 0.5918 and V(θ[59],xₜ) = -194619.4178, Reward = -242294.6532, θ = [0.64444, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[60],x₀) = 0.5918 and V(θ[60],xₜ) = 64445.4903, Reward = 81910.4981, θ = [0.64444, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[61],x₀) = 0.5918 and V(θ[61],xₜ) = 0.5864, Reward = 15.9114, θ = [0.64444, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[62],x₀) = 0.5918 and V(θ[62],xₜ) = -63799.7948, Reward = -82436.9717, θ = [0.64444, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[63],x₀) = 0.5918 and V(θ[63],xₜ) = 63156.7054, Reward = 82186.5139, θ = [0.64444, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[64],x₀) = 0.5918 and V(θ[64],xₜ) = -64444.3327, Reward = -81888.5103, θ = [0.64444, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[65],x₀) = 0.5918 and V(θ[65],xₜ) = 0.5972, Reward = -9.7716, θ = [0.64444, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[66],x₀) = 0.5918 and V(θ[66],xₜ) = 192041.1972, Reward = 227599.9887, θ = [0.644433, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[67],x₀) = 0.5918 and V(θ[67],xₜ) = 64702.6489, Reward = 82946.5325, θ = [0.644433, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[68],x₀) = 0.5918 and V(θ[68],xₜ) = 322866.2295, Reward = 423965.6152, θ = [0.64444, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[69],x₀) = 0.5918 and V(θ[69],xₜ) = 326090.9357, Reward = 425476.5036, θ = [0.644445, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[70],x₀) = 0.5918 and V(θ[70],xₜ) = 65090.4462, Reward = 81686.8049, θ = [0.644444, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[71],x₀) = 0.5918 and V(θ[71],xₜ) = 64445.9157, Reward = 81880.0934, θ = [0.644444, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[72],x₀) = 0.5918 and V(θ[72],xₜ) = -64444.7212, Reward = -81882.5522, θ = [0.644444, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[73],x₀) = 0.5918 and V(θ[73],xₜ) = -321580.0973, Reward = -418896.5139, θ = [0.644449, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[74],x₀) = 0.5918 and V(θ[74],xₜ) = 63157.5318, Reward = 82216.6924, θ = [0.644449, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[75],x₀) = 0.5918 and V(θ[75],xₜ) = 190755.2547, Reward = 229598.5065, θ = [0.644443, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[76],x₀) = 0.5918 and V(θ[76],xₜ) = 0.5832, Reward = 5.5089, θ = [0.644443, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[77],x₀) = 0.5918 and V(θ[77],xₜ) = -191009.5246, Reward = -228605.9804, θ = [0.644437, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[78],x₀) = 0.5918 and V(θ[78],xₜ) = -193328.7513, Reward = -241663.3748, θ = [0.644434, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[79],x₀) = 0.5918 and V(θ[79],xₜ) = 261642.6684, Reward = 341577.6044, θ = [0.644437, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[80],x₀) = 0.5918 and V(θ[80],xₜ) = 0.6659, Reward = 209.5353, θ = [0.644437, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[81],x₀) = 0.5918 and V(θ[81],xₜ) = 259062.1694, Reward = 319164.9526, θ = [0.644431, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[82],x₀) = 0.5918 and V(θ[82],xₜ) = 64444.5511, Reward = 81897.4423, θ = [0.644431, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[83],x₀) = 0.5918 and V(θ[83],xₜ) = 318994.6246, Reward = 407732.3508, θ = [0.64443, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[84],x₀) = 0.5918 and V(θ[84],xₜ) = 63800.1085, Reward = 81914.5061, θ = [0.64443, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[85],x₀) = 0.5918 and V(θ[85],xₜ) = 326094.1897, Reward = 449382.2488, θ = [0.644451, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[86],x₀) = 0.5918 and V(θ[86],xₜ) = 323515.4274, Reward = 411975.542, θ = [0.644449, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[87],x₀) = 0.5918 and V(θ[87],xₜ) = 64446.393, Reward = 81899.1671, θ = [0.644449, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[88],x₀) = 0.5918 and V(θ[88],xₜ) = 64446.3883, Reward = 81899.1044, θ = [0.644449, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[89],x₀) = 0.5918 and V(θ[89],xₜ) = -256487.2717, Reward = -315263.6966, θ = [0.644442, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[90],x₀) = 0.5918 and V(θ[90],xₜ) = -193589.9604, Reward = -257585.2387, θ = [0.644446, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[91],x₀) = 0.5918 and V(θ[91],xₜ) = 65090.5225, Reward = 79230.2233, θ = [0.644445, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[92],x₀) = 0.5918 and V(θ[92],xₜ) = -321959.8509, Reward = -396788.5002, θ = [0.644435, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[93],x₀) = 0.5918 and V(θ[93],xₜ) = 194619.4312, Reward = 249577.6437, θ = [0.644435, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[94],x₀) = 0.5918 and V(θ[94],xₜ) = 321580.8352, Reward = 430424.6264, θ = [0.644447, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[95],x₀) = 0.5918 and V(θ[95],xₜ) = -64444.9526, Reward = -81909.2387, θ = [0.644447, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[96],x₀) = 0.5918 and V(θ[96],xₜ) = 65735.0359, Reward = 78065.2178, θ = [0.644446, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[97],x₀) = 0.5918 and V(θ[97],xₜ) = 0.6777, Reward = 422.8804, θ = [0.644446, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[98],x₀) = 0.5918 and V(θ[98],xₜ) = 1289.5521, Reward = -2890.5099, θ = [0.644446, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[99],x₀) = 0.5918 and V(θ[99],xₜ) = 64446.0547, Reward = 81869.889, θ = [0.644446, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[100],x₀) = 0.5918 and V(θ[100],xₜ) = -257.1054, Reward = -123.1822, θ = [0.644446, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[101],x₀) = 0.5918 and V(θ[101],xₜ) = -324159.0805, Reward = -423554.9138, θ = [0.644451, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[102],x₀) = 0.5918 and V(θ[102],xₜ) = 64446.6643, Reward = 83708.2597, θ = [0.644451, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[103],x₀) = 0.5918 and V(θ[103],xₜ) = -255198.242, Reward = -308545.0066, θ = [0.644442, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[104],x₀) = 0.5918 and V(θ[104],xₜ) = 645.1047, Reward = -1033.8321, θ = [0.644442, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[105],x₀) = 0.5918 and V(θ[105],xₜ) = -64186.5949, Reward = -81845.0459, θ = [0.644442, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[106],x₀) = 0.5918 and V(θ[106],xₜ) = 258.4554, Reward = -696.5974, θ = [0.644442, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[107],x₀) = 0.5918 and V(θ[107],xₜ) = -319382.946, Reward = -401593.9294, θ = [0.644436, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[108],x₀) = 0.5918 and V(θ[108],xₜ) = -643.7619, Reward = 2840.073, θ = [0.644436, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[109],x₀) = 0.5918 and V(θ[109],xₜ) = -260994.6262, Reward = -327752.0079, θ = [0.644433, 0.00890201, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[110],x₀) = 0.5918 and V(θ[110],xₜ) = -197193.0644, Reward = -237635.8038, θ = [0.644427, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[111],x₀) = 0.5918 and V(θ[111],xₜ) = 64186.4665, Reward = 81514.0597, θ = [0.644427, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[112],x₀) = 0.5918 and V(θ[112],xₜ) = 64444.1318, Reward = 81879.6368, θ = [0.644427, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
